fixture,tool,format,raster_density,primary,previous_median_ms,current_median_ms,latency_change_percent,speedup,previous_width,previous_height,current_width,current_height,output_unchanged
spyre_encoder,d2-tala,png,2.0,True,397.065521,437.7914585,10.256729770299033,0.9069741158506408,4228,6436,4228,6436,True
spyre_encoder,d2-tala,svg,,True,86.6232085,93.1987915,7.5910175966294124,0.929445619474583,,,,,True
spyre_encoder,mermaid-dagre,png,2.0,True,1712.477104,1831.6972085,6.961851006447084,0.9349127661784064,12534,6970,12534,6970,True
spyre_encoder,mermaid-dagre,svg,,True,454.7965,473.7800625,4.1740784064960845,0.959931698265585,6266.15625,3485,6266.15625,3485,True
spyre_encoder,graphviz-dot,png,2.0,True,1535.546562,1596.8655625000001,3.9933012790008826,0.9616003989690897,23427,3304,23427,3304,True
spyre_encoder,graphviz-dot,svg,,True,98.534709,105.39512500000001,6.962435947316803,0.9349076534612013,8785pt,1239pt,8785pt,1239pt,True
spyre_encoder,plantuml-dot,png,2.0,True,3417.4123965,3596.4946879999998,5.240289163912726,0.9502064351443302,19732,3332,19732,3332,True
spyre_encoder,plantuml-dot,svg,,True,939.209979,996.383646,6.087421160162099,0.9426188223486759,9867px,1667px,9867px,1667px,True
tpmjs_architecture,d2-dagre,png,0.5,False,367.128375,305.807312,-16.70289391279004,1.200521899227838,7464,2604,7464,2604,True
tpmjs_architecture,d2-dagre,svg,,True,121.7910205,93.3818545,-23.32615810539168,1.3042257636894543,,,,,True
tpmjs_architecture,d2-tala,png,0.5,False,3634.1940004999997,2894.362708,-20.357506847411344,1.2556111196620625,3226,5238,3184,3950,False
tpmjs_architecture,d2-tala,svg,,True,3464.9238125,2736.897125,-21.01133320373694,1.2660044036182032,,,,,False
tpmjs_architecture,mermaid-dagre,png,0.5,False,802.5803745000001,854.815479,6.508395440461889,0.9388931228045767,7472,1717,7472,1717,True
tpmjs_architecture,mermaid-dagre,svg,,True,630.5623545000001,662.3117085,5.035085550766083,0.9520628223953557,14942.671875,3433,14942.671875,3433,True
tpmjs_architecture,graphviz-dot,png,0.5,False,187.336646,197.776479,5.572766045998279,0.9472139808900127,5191,1228,5191,1228,True
tpmjs_architecture,graphviz-dot,svg,,True,78.930125,82.1703125,4.1051341297128285,0.960567419042005,7787pt,1843pt,7787pt,1843pt,True
tpmjs_architecture,plantuml-dot,png,0.5,False,1387.0015,1405.5721455,1.3389059420627847,0.9867878389882336,5205,1483,5205,1483,True
tpmjs_architecture,plantuml-dot,svg,,True,980.8164165000001,990.8429585,1.0222649041478293,0.9898807960292934,10412px,2968px,10412px,2968px,True
